CodiceScuola,Alunni,Hand,Classi,annoScolastico
MEEE864037,62,9,5,2021-2022
MEEE865011,386,12,21,2021-2022
MEEE86601R,208,5,11,2021-2022
MEEE86602T,317,15,17,2021-2022
MEEE86701L,49,3,5,2021-2022
MEEE86703P,85,4,5,2021-2022
MEEE86704Q,159,10,9,2021-2022
MEEE86705R,180,11,10,2021-2022
MEEE869018,191,16,11,2021-2022
MEEE869029,83,6,6,2021-2022
MEEE86903A,58,9,5,2021-2022
MEEE871018,67,10,6,2021-2022
MEEE871029,34,3,3,2021-2022
MEEE87103A,22,1,2,2021-2022
MEEE87105C,50,2,4,2021-2022
MEEE87106D,19,1,2,2021-2022
MEEE87107E,83,4,6,2021-2022
MEEE87109L,50,3,3,2021-2022
MEEE872014,174,11,11,2021-2022
MEEE872025,116,7,8,2021-2022
MEEE872036,129,6,9,2021-2022
MEEE872047,107,5,7,2021-2022
MEEE872058,55,5,4,2021-2022
MEEE872069,56,3,5,2021-2022
